Elapsed Time,EMG1,EMG2,EMG3,BioRadio Event,
00:00:08.468,-4.57763671875E-05,-0.000675201416015625,0.00845718383789063,0,
00:00:08.472,-4.57763671875E-05,-0.000669479370117188,0.00845718383789063,0,
00:00:08.476,-4.57763671875E-05,-0.000675201416015625,0.00845718383789063,0,
00:00:08.48,-4.57763671875E-05,-0.000692367553710938,0.00845718383789063,0,
00:00:08.484,-5.7220458984375E-05,-0.000703811645507813,0.00845718383789063,0,
00:00:08.488,-4.57763671875E-05,-0.000675201416015625,0.00845718383789063,0,
00:00:08.492,-4.00543212890625E-05,-0.00066375732421875,0.00845718383789063,0,
00:00:08.496,-3.4332275390625E-05,-0.000658035278320313,0.00845718383789063,0,
00:00:08.5,-4.00543212890625E-05,-0.000675201416015625,0.00845718383789063,0,
00:00:08.504,-4.57763671875E-05,-0.0006866455078125,0.00845718383789063,0,
00:00:08.508,-4.57763671875E-05,-0.0006866455078125,0.00845718383789063,0,
00:00:08.512,-5.14984130859375E-05,-0.000680923461914063,0.00845718383789063,0,
00:00:08.516,-4.57763671875E-05,-0.000658035278320313,0.00845718383789063,0,
00:00:08.52,-4.57763671875E-05,-0.000652313232421875,0.00845718383789063,0,
00:00:08.524,-4.57763671875E-05,-0.000646591186523438,0.00845718383789063,0,
00:00:08.528,-4.57763671875E-05,-0.000658035278320313,0.00845718383789063,0,
00:00:08.532,-4.57763671875E-05,-0.000675201416015625,0.00845146179199219,0,
00:00:08.536,-5.14984130859375E-05,-0.000698089599609375,0.00845718383789063,0,
00:00:08.54,-5.14984130859375E-05,-0.000692367553710938,0.00845146179199219,0,
00:00:08.544,-5.14984130859375E-05,-0.000675201416015625,0.00845146179199219,0,
00:00:08.548,-5.14984130859375E-05,-0.0006866455078125,0.00845146179199219,0,
00:00:08.552,-5.14984130859375E-05,-0.000658035278320313,0.00845146179199219,0,
00:00:08.556,-4.00543212890625E-05,-0.000652313232421875,0.00845146179199219,0,
00:00:08.56,-4.00543212890625E-05,-0.000669479370117188,0.00845146179199219,0,
00:00:08.564,-4.57763671875E-05,-0.00066375732421875,0.00845146179199219,0,
00:00:08.568,-4.57763671875E-05,-0.000675201416015625,0.00845146179199219,0,
00:00:08.572,-4.00543212890625E-05,-0.000680923461914063,0.00845146179199219,0,
00:00:08.576,-4.57763671875E-05,-0.0006866455078125,0.00845146179199219,0,
00:00:08.58,-4.57763671875E-05,-0.0006866455078125,0.00845146179199219,0,
